City,Population Count,City Area (square kilometers)
Warsaw,1764615,517.24
Kraków,769498,326.85
Łódź,686193,293.25
Wrocław,639258,292.92
Poznań,538633,261.91
Gdańsk,476837,262.18
Szczecin,402759,301.82
Bydgoszcz,355799,176.06
Lublin,339682,147.46
Katowice,294262,164.67
Białystok,296543,102.12
Gdynia,246309,136.29
Częstochowa,225721,160.45
Radom,200192,111.84
Sosnowiec,201032,91.31
Toruń,202934,115.69
Kielce,197301,109.96
Rzeszów,199012,116.29
Gliwice,181440,133.88
Zabrze,176628,80.18
Olsztyn,176748,88.88
Bielsko-Biała,171532,124.88
Bytom,169386,69.44
Gorzów Wielkopolski,124382,86.18
Rybnik,139731,148.14
Dąbrowa Górnicza,132097,188.48
Tychy,131807,81.63
Opole,127676,94.83
Płock,124772,88.87
Elbląg,122899,80.45
